id,zugid,zugverkehrstyp,zugtyp,zugowner,zugklasse,zugnummer,zugnummerfull,linie,evanr,arzeitsoll,arzeitist,dpzeitsoll,dpzeitist,gleissoll,gleisist,datum,streckengeplanthash,streckenchangedhash,zugstatus
50143721,-7730899559938984734-1803120647-14,S,p,A6S32,S,85036,S85036,32,8000191,7:44:00,7:45:00,,,6,6,2018-03-12,96871c28,e2311868,n
50143722,-7791246963163384281-1803120554-27,S,p,A6S81,S,85035,S85035,81,8000191,7:07:00,7:07:00,,,8,8,2018-03-12,fb5b98c0,e2311868,n
50143723,2660724804819975745-1803120549-5,F,p,80,ICE,676,ICE676,,8000191,7:31:00,7:35:00,,,3,3,2018-03-12,a67990a2,e2311868,n
50143724,-8504541880294850030-1803120647-11,S,p,801539,S,38317,S38317,3,8000191,7:32:00,7:32:00,,,9,9,2018-03-12,1d84b548,e2311868,n
50143725,-4554142996363352815-1803120608-6,F,p,80,ICE,374,ICE374,,8000191,7:58:00,7:59:00,8:00:00,8:04:00,3,7,2018-03-12,f8683114,e2311868,n
50143726,-7172859952559688001-1803120647-13,N,p,801518,RB,38815,RB38815,2,8000191,7:42:00,7:45:00,,,2,1,2018-03-12,f2329988,e2311868,n
50143727,4512537639659358810-1803120442-11,F,p,80,IC,2268,IC2268,,8000191,7:53:00,8:02:00,,,6,6,2018-03-12,0b808829,e2311868,n
50143728,3765292860989413453-1803120648-3,F,p,80,ICE,5,ICE5,,8000191,7:58:00,8:01:00,8:00:00,8:04:00,2,2,2018-03-12,1382f80a,e2311868,n
50143730,7247667009065148788-1803120639-14,S,p,A6S31,S,85032,S85032,31,8000191,7:23:00,7:31:00,,,5,5,2018-03-12,895dd64d,e2311868,n
50143731,-2293708380295905980-1803120704-1,N,p,800647,RE,4713,RE4713,,8000191,,,7:04:00,7:05:00,6,6,2018-03-12,727be246,e2311868,n
50143732,-8945522621353169170-1803120702-1,F,p,80,IC,2376,IC2376,,8000191,,,7:02:00,7:06:00,9,9,2018-03-12,9e3c595c,e2311868,n
50143733,4310197249325017891-1803120626-17,N,p,800619,RE,19522,RE19522,,8000191,7:53:00,7:53:00,,,10,10,2018-03-12,4515c319,e2311868,n
50143734,6324605725110637871-1803120535-19,N,p,800647,RE,4742,RE4742,,8000191,7:50:00,7:52:00,,,12,12,2018-03-12,d4de4fea,e2311868,n
50143735,3815735107019805795-1803120755-1,S,p,801539,S,38320,S38320,4,8000191,,,7:55:00,7:55:00,9,9,2018-03-12,e28c64d3,e2311868,n
50143736,3918142756722792941-1803120741-1,F,p,80,IC,2369,IC2369,,8000191,,,7:41:00,7:41:00,7,7,2018-03-12,34c1e5d7,e2311868,n
50143737,-3771280135209295829-1803120554-14,N,p,801591,RE,12005,RE12005,6,8000191,7:00:00,7:00:00,,,102,102,2018-03-12,77e05227,e2311868,n
50143738,-5856872891230692952-1803120607-27,S,p,801539,S,38203,S38203,3,8000191,7:50:00,7:58:00,,,8,8,2018-03-12,79110967,e2311868,n
50143739,-3495928060949042493-1803120557-30,S,p,801539,S,38319,S38319,3,8000191,7:50:00,7:58:00,,,8,8,2018-03-12,d3c0afad,e2311868,n
50176499,-7900467573711471140-1803120809-1,N,p,800647,RE,4715,RE4715,,8000191,,,8:09:00,8:10:00,12,12,2018-03-12,727be246,e2311868,n
50176500,6326609807835184267-1803120817-1,S,p,A6S5,S,85571,S85571,5,8000191,,,8:17:00,8:17:00,10,10,2018-03-12,6bc49d58,e2311868,n
50176501,-3149424685665657431-1803120722-17,N,p,800619,RE,19526,RE19526,,8000191,8:42:00,8:43:00,,,11,11,2018-03-12,4515c319,e2311868,n
50176502,2211303115698676428-1803120522-22,N,p,800647,RE,4704,RE4704,,8000191,8:39:00,8:43:00,,,14,14,2018-03-12,6dcc27e8,e2311868,n
50176503,-3784469946696803015-1803120744-13,N,p,801518,RB,38821,RB38821,2,8000191,8:37:00,8:37:00,,,2,2,2018-03-12,f2329988,e2311868,n
50176504,-8834439611932572689-1803120850-1,S,p,A6S32,S,85189,S85189,32,8000191,,,8:50:00,8:50:00,8,8,2018-03-12,f2d9805e,e2311868,n
50176505,-508151058757607646-1803120713-6,F,p,80,ICE,202,ICE202,,8000191,8:58:00,9:03:00,9:00:00,9:07:00,3,3,2018-03-12,b8a896ba,e2311868,n
50176506,4160130328725531129-1803120716-13,N,p,801518,RB,38817,RB38817,2,8000191,8:13:00,8:13:00,,,3,2,2018-03-12,f2329988,e2311868,n
50176507,6444204556530743871-1803120833-1,N,p,801591,RB,12438,RB12438,51,8000191,,,8:33:00,8:33:00,102,102,2018-03-12,7329eec3,e2311868,n
50176508,6068602557672944179-1803120811-1,S,p,A6S31,S,85129,S85129,31,8000191,,,8:11:00,8:12:00,14,14,2018-03-12,c9923909,e2311868,n
50176509,-7193659775195819567-1803120600-9,F,p,80,IC,2261,IC2261,,8000191,8:04:00,8:08:00,8:06:00,8:11:00,7,7,2018-03-12,8d7955c8,e2311868,n
50176510,-7497606302954308845-1803120700-11,N,p,801591,RE,12013,RE12013,6,8000191,8:03:00,8:04:00,,,102,102,2018-03-12,18fb9418,e2311868,n
50176511,8735574551800398555-1803120537-9,F,p,80,ICE,101,ICE101,,8000191,8:58:00,9:33:00,9:00:00,9:35:00,2,2,2018-03-12,c16daf73,1809989d,n
50176512,-8160985285898732989-1803120600-6,F,p,85,ICE,78,ICE78,,8000191,8:49:00,8:52:00,8:51:00,8:55:00,3,3,2018-03-12,96d1371f,e2311868,n
50176513,5511417710171772002-1803120803-16,S,p,A6S31,S,85044,S85044,31,8000191,8:48:00,8:52:00,,,13,13,2018-03-12,c00c7257,e2311868,n
50176514,-362804011026588520-1803120658-3,F,p,80,ICE,9568,ICE9568,,8000191,8:05:00,8:07:00,8:07:00,8:09:00,2,2,2018-03-12,0a774f72,e2311868,n
50176516,-445442059672292279-1803120809-6,N,p,801591,RE,12015,RE12015,6,8000191,8:54:00,8:55:00,,,102,102,2018-03-12,941735b1,e2311868,n
50176517,6365727839651983627-1803120537-11,F,p,80,IC,2164,IC2164,,8000191,8:53:00,8:57:00,,,9,9,2018-03-12,c6c4cb97,e2311868,n
50176518,-4821959338722275884-1803120520-8,N,p,8006C5,RE,17308,RE17308,,8000191,8:21:00,8:21:00,,,14,14,2018-03-12,d602f1e3,e2311868,n
50176519,6061588582050922800-1803120535-39,S,p,801539,S,38327,S38327,3,8000191,8:33:00,8:34:00,,,5,5,2018-03-12,328208ea,e2311868,n
50176520,7692655955571390362-1803120828-1,S,p,801539,S,38322,S38322,3,8000191,,,8:28:00,8:31:00,7,7,2018-03-12,dfe22a27,e2311868,n
50176521,-8039209595279107068-1803120622-32,S,p,801539,S,38329,S38329,3,8000191,8:58:00,9:03:00,,,8,8,2018-03-12,2fff912e,e2311868,n
50176522,-6091389668037576010-1803120718-16,S,p,A6S32,S,85040,S85040,32,8000191,8:05:00,8:09:00,,,6,13,2018-03-12,57be5c22,e2311868,n
50176524,2073958488551051157-1803120630-20,S,p,A6S81,S,85189,S85189,81,8000191,8:49:00,8:51:00,,,8,8,2018-03-12,6c11d674,e2311868,n
50176525,-6445548924370928971-1803120805-1,N,p,801591,RE,12008,RE12008,6,8000191,,,8:05:00,8:07:00,1,1,2018-03-12,a34c02d2,e2311868,n
50176526,-3438590809830293559-1803120800-9,S,p,A6S31,S,85042,S85042,31,8000191,8:28:00,8:28:00,,,13,13,2018-03-12,7c9fc240,e2311868,n
50176527,-2675523624213020440-1803120805-1,N,p,800619,IRE,19035,IRE19035,,8000191,,,8:05:00,8:06:00,10,10,2018-03-12,eabdb629,e2311868,n
50176528,-5181307804424713657-1803120858-1,S,p,801539,S,38324,S38324,4,8000191,,,8:58:00,8:58:00,5,5,2018-03-12,15c22522,e2311868,n
50176529,5577555307593270446-1803120824-9,S,p,A6S71,S,85181,S85181,71,8000191,8:56:00,9:01:00,,,12,12,2018-03-12,4d02d6a0,e2311868,n
50176530,3712176890692177489-1803120808-1,N,p,800640,RE,4470,RE4470,4,8000191,,,8:08:00,8:09:00,5,5,2018-03-12,d6c8f7ab,e2311868,n
50176531,1676253403220661694-1803120600-44,S,p,A6S81,S,85571,S85571,81,8000191,8:16:00,8:16:00,,,10,10,2018-03-12,2d1f877c,e2311868,n
50176532,-8701406696819351533-1803120843-1,S,p,A6S81,S,85042,S85042,81,8000191,,,8:43:00,8:43:00,13,13,2018-03-12,1f7a65d6,e2311868,n
